date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"Nov 15, 2023 3:12:40 PM PST",19110008641,Order,114-2648707-7547407,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,ASHLAND,KY,41101-6517,MarketplaceFacilitator,14.99,0,0,0,0,0,0,0,0,0,0,-1.39,-5.05,0,0,8.55
"Nov 16, 2023 4:03:10 AM PST",19110008641,Order,114-8408290-6571447,PT0001-USA,"FUEGO MEXIKA® | Elixir Ambar - spicy Virgin Olive Oil Infusion with a Blend of Chipotle, Rojo de Arbol, Morita Chili Peppers and natural Garlic - cra",1,amazon.com,Amazon,ANAHEIM,CA,92805-8607,MarketplaceFacilitator,16.99,0,0,0,0,0,0,0,0,0,0,-2.96,-5.7,0,0,8.33
"Nov 16, 2023 5:01:59 AM PST",19110008641,Order,111-1753271-7377805,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,GILBERT,AZ,85298-9045,MarketplaceFacilitator,14.99,0.22,0,0,0,0,0,0,0,0,-0.22,-1.39,-5.05,0,0,8.55
"Nov 16, 2023 7:16:01 PM PST",19110008641,Order,113-5197143-9605047,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,Carrollton,TX,75007,MarketplaceFacilitator,14.99,0,4.93,0,0,0,0,0,-4.93,0,0,-1.39,-5.05,0,0,8.55
"Nov 17, 2023 8:07:59 AM PST",19110008641,Order,111-2299498-1998609,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,PORTLAND,OR,97219-6478,,14.99,0,0,0,0,0,0,0,0,0,0,-1.39,-5.05,0,0,8.55
"Nov 17, 2023 10:36:09 AM PST",19110008641,Order,112-6832951-3892212,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,Haslet,TX,76052,MarketplaceFacilitator,14.99,0,0,0,0,0,0,0,0,0,0,-1.39,-5.05,0,0,8.55
"Nov 17, 2023 11:30:22 PM PST",19110008641,Order,113-7588428-2792257,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,HOUSTON,TX,77003-4817,MarketplaceFacilitator,14.99,0,0,0,0,0,0,0,0,0,0,-1.39,-5.05,0,0,8.55
"Nov 18, 2023 12:49:03 AM PST",19110008641,Order,114-4971835-9068252,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,PORTLAND,OR,97233-2655,,14.99,0,0,0,0,0,0,0,0,0,0,-1.39,-5.05,0,0,8.55
"Nov 18, 2023 8:30:42 AM PST",19110008641,Order,111-3716735-6930659,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,Stratford,NJ,8084,MarketplaceFacilitator,14.99,0,0,0,0,0,0,0,0,0,0,-1.39,-5.05,0,0,8.55
"Nov 18, 2023 6:07:30 PM PST",19110008641,Order,114-7523789-9271433,PT0022-US,"FUEGO MEXIKA® | Nutty & Picante - Gourmet Mexican Chili Paste-Salsa with Dried Plums and Pecans - Blend of Morita & Habanero Chili Peppers, roasted a",1,amazon.com,Amazon,OKATIE,SC,29909-4649,MarketplaceFacilitator,14.99,0,0,0,0,0,0,0,0,0,0,-1.39,-4.54,0,0,9.06
"Nov 18, 2023 6:07:30 PM PST",19110008641,Order,114-7523789-9271433,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,OKATIE,SC,29909-4649,MarketplaceFacilitator,14.99,0,0,0,0,0,0,0,0,0,0,-1.39,-5.05,0,0,8.55
"Nov 18, 2023 11:42:27 PM PST",19110008641,Order,111-4791160-8331463,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,SPARTA,NJ,07871-2646,MarketplaceFacilitator,14.99,0,0,0,0,0,0,0,0,0,0,-1.39,-5.05,0,0,8.55
"Nov 19, 2023 10:25:41 PM PST",19110008641,Order,114-7523789-9271433,PT0001-USA,"FUEGO MEXIKA® | Elixir Ambar - spicy Virgin Olive Oil Infusion with a Blend of Chipotle, Rojo de Arbol, Morita Chili Peppers and natural Garlic - cra",1,amazon.com,Amazon,OKATIE,SC,29909-4649,MarketplaceFacilitator,16.99,0,0,0,0,0,0,0,0,0,0,-2.96,-5.7,0,0,8.33
"Nov 21, 2023 8:45:28 AM PST",19110008641,Order,114-3580206-8763403,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,VANCLEAVE,MS,39565-8188,MarketplaceFacilitator,14.99,1.05,0,0,0,0,0,0,0,0,-1.05,-1.39,-5.05,0,0,8.55
"Nov 21, 2023 9:19:23 AM PST",19110008641,Order,S01-3808084-1290035,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppers roasted and bathed in virgin Olive Oil - Whole Ingredients only.",1,sim1.stores.amazon.com,Amazon,WEST COVINA,CA,91791-2944,,0,0,0,0,0,0,0,0,0,0,0,0,-5.25,0,0,-5.25
"Nov 21, 2023 9:19:23 AM PST",19110008641,Order,S01-3808084-1290035,PT0022-US,"FUEGO MEXIKA® | Nutty & Picante - Gourmet Mexican Chili Paste-Salsa with Dried Plums and Pecans - Blend of Morita & Habanero Chili Peppers, roasted and bathed in virgin Olive Oil - Low-Heat - from Whole Ingredients.",1,sim1.stores.amazon.com,Amazon,WEST COVINA,CA,91791-2944,,0,0,0,0,0,0,0,0,0,0,0,0,-5.1,0,0,-5.1
